Tweet text,ID,Label,text_label,split
@SouthwestAir I love you but when sending me flight changes please don't use military time #ignoranceisbliss,23,1,complaint,0
@JetBlue Completely understand but would prefer being on time to filling out forms....,24,2,no complaint,0
@nvidiacc I own two gtx 460 in sli. I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.,25,2,no complaint,0
Just posted a photo https://t.co/RShFwCjPHu,26,2,no complaint,0
Love crescent rolls? Try adding pesto @PerdueChicken to them and you’re going to love it! #Promotion #PerdueCrew -… https://t.co/KBHOfqCukH,27,2,no complaint,0
@TopmanAskUs please just give me my money back.,28,1,complaint,0
I just gave 5 stars to Tracee at @neimanmarcus for the great service I received!,29,2,no complaint,0
@FitbitSupport when are you launching new clock faces for Indian market,30,2,no complaint,0
@HPSupport my printer will not allow me to choose color instead it only prints monochrome #hppsdr #ijkhelp,31,1,complaint,0
@DIRECTV can I get a monthly charge double refund when it sprinkles outside and we lose reception? #IamEmbarrasedForYou,32,1,complaint,0
"@AlfaRomeoCares Hi thanks for replying, could be my internet but link doesn't seem to be working",33,1,complaint,0
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,34,2,no complaint,0
@OnePlus_IN can OnePlus 5T do front camera portrait?,35,2,no complaint,0
@sho_help @showtime your arrive is terrible streaming is stop and start every couple mins. Get it together it's xmas,36,1,complaint,0
@KandraKPTV I just witnessed a huge building fire in Santa Monica California,37,2,no complaint,0
@fernrocks most definitely the latter for me,38,2,no complaint,0
@greateranglia Could I ask why the Area in front of BIC Station was not gritted withh all the snow.,39,1,complaint,0
I'm earning points with #CricketRewards https://t.co/GfpGhqqnhE,40,2,no complaint,0
@Schrapnel @comcast RIP me,41,2,no complaint,0
"The wait is finally over, just joined @SquareUK, hope to get started real soon!",42,2,no complaint,0
@WholeFoods what's the best way to give feedback on a particular store to the regional/national office?,43,2,no complaint,0
@DanielNewman I honestly would believe anything. People are...too much sometimes.,44,2,no complaint,0
@asblough Yep! It should send you a notification with your driver’s name and what time they’ll be showing up!,45,2,no complaint,0
@Wavy2Timez for real,46,2,no complaint,0
@KenyaPower_Care  no power in south b area... is it scheduled.,47,1,complaint,0
Honda won't do anything about water leaking in brand new car. Frustrated! @HondaCustSvc @AmericanHonda,48,1,complaint,0
"@CBSNews @Dodge @ChryslerCares My driver side air bag has been recalled and replaced, but what about the passenger side?",49,1,complaint,0
@BurberryService Thanks for sending my Christmas present with the security protection still on it! pic.twitter.com/iI0DUxOUU2,50,0,Unlabeled,2
Catching up on #AYTO marathon! The people they pick for these shows..oh the stupidity ��‍♀️,51,0,Unlabeled,2
"Hi @BootsHelp, is it now Boots policy to only offer a refund if the item is faulty?",52,0,Unlabeled,2
"@JBPritzker I’m curious...if the SoS is the “least offensive,” do you believe that African-Americans are offensive… https://t.co/etGSvRUS1h",53,0,Unlabeled,2
@greateranglia Ok thanks...,54,0,Unlabeled,2
@megelizabethgee i’m actually crying,55,0,Unlabeled,2
"@DICKS tried to buy this today. Above the rack said 40% off apparel. Was told hats are not considered ""apparel"" https://t.co/vxtNI1Frm7",56,0,Unlabeled,2
@mombot @mcrartgallery This is the most fucking stupid thing I've ever heard of. Next step is make women wear burka… https://t.co/m8dfs0isUb,57,0,Unlabeled,2
@JustKeedy504 @30samIToya That's how it's gonna happen ��. Thinking shit is cool then BOOM u crying in the car ����������… https://t.co/l4eVJuhPQX,58,0,Unlabeled,2
Two Tickets to Start Loving You – A Destination Conference for Moms! https://t.co/NfiUjP5fme,59,0,Unlabeled,2
@BTCare Yes but was cut off. Can someone come out?,60,0,Unlabeled,2
How is Drew still on @DancingABC ??,61,0,Unlabeled,2
@VW @QuirkCars some unauthorized work done on my engine now throwing a check engine light about a week later. Very upset.,62,0,Unlabeled,2
"@realDonaldTrump Another white terrorist committing ACTS OF TERROR. Still waiting for you to call it like it is, si… https://t.co/jdXDug1vbg",63,0,Unlabeled,2
@Chrysler Is the Pacifica similar to the size of the Town and Country?,64,0,Unlabeled,2
@NYTsupport i have complained a dozen times &amp; yet my papers are still thrown FAR from my door. Why is this so hard to resolve?,65,0,Unlabeled,2
Hey @nytimes your link to cancel my subscription isn't working and nobody is answering the chat. Please don't play that kind of stupid game.,66,0,Unlabeled,2
@The_Weidmanator Source!,67,0,Unlabeled,2
Hurry on over for YOUR chance to win one of our EPIC CASH PRIZES! https://t.co/4HgUgjRZXE https://t.co/beGsLj6JmF,68,0,Unlabeled,2
@NBASTORESupport they said I have to reach the account department,69,0,Unlabeled,2
Just bought hydrocortisone cream at @BootsUK without a single WWHAM question. George Michael is spinning in his grave. 1/10 not recommended.,70,0,Unlabeled,2
Feeling a sense of winning. #amwriting #NaNoWriMo17 https://t.co/Y66C8IdyFP,71,0,Unlabeled,2
"@NFLUK @Patriots That's right, #OnlyInTheNFL will the refs call an obvious TD incomplete and ruin a great game.",72,0,Unlabeled,2
@SEPTA_SOCIAL Yes. I used it today,73,0,Unlabeled,2
#HourlyComicsDay https://t.co/3wgmIphO9m,74,0,Unlabeled,2
Iphone battery sucks 11.2.1 @Apple,75,0,Unlabeled,2
"How delusional do you have to be to even a little seriously say the Bengals have any hope in the next 2-3, or even… https://t.co/73g1ZgFrhI",76,0,Unlabeled,2
@SquareUK When will Canada get this!?,77,0,Unlabeled,2
@Uber_Support I had $40 in gift cards on my account that disappeared!?!,78,0,Unlabeled,2
@TopmanAskUs still waiting for update pls.,79,0,Unlabeled,2
"@AskPlayStation Is the PS camera required and if so, why is it not sold with base system?",80,0,Unlabeled,2
When ur daughter do ur hair and u feeling ur self https://t.co/4O9dpiHUNy,81,0,Unlabeled,2
this tweet does not make sense please ignore,82,0,Unlabeled,2
@TommyHilfiger Dramatic shopping exp. ordered 6 jeans same size (30/32) 2 fits / 2 too large / 2 too slim : same brand &gt; different sizing,83,0,Unlabeled,2
@ksnyder23s Awww did she at least match? She’s getting way too big!,84,0,Unlabeled,2
Family Christmas pictures coming real soon,85,0,Unlabeled,2
"@virginmedia Instead of spending money on advertising, why not fix the slow speeds in the RG2 area. CLOWNS",86,0,Unlabeled,2
"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3 3D Printer..."" by #SainSmart! #GiveToEmpower https://t.co/NaC2u8O3a1 #giveaway",87,0,Unlabeled,2
Finished my first semester with a 4.0������,88,0,Unlabeled,2
4 people followed me and 3 people unfollowed me // automatically checked by https://t.co/cvUtNgodDe,89,0,Unlabeled,2
My favorite Bengals play of all time. https://t.co/nbkq1e6flW,90,0,Unlabeled,2
@pizzahut awful quality very dissatisfied like that bubble is bigger than my head!! No cheese very crappy piza!!! https://t.co/qpxRvL83ZV,91,0,Unlabeled,2
@DICKS I think your Cyber Monday 25% off is broken. It's not showing up in my cart. Or you are lying. I just want a cheap set of weights.,92,0,Unlabeled,2
@HPSupport HP DeskJet 3630 series: Online connectivity error... nothing seems to help or work #hppsdr #ijkhelp,93,0,Unlabeled,2
@TommyHilfiger has the most pathetic cust service in India. They haven't sorted a simple issue of replacing a sub stndrd bag for 20 months,94,0,Unlabeled,2
"@KalelKitten @23andMe Oh nooo, I've been waiting for this video! I did AncestryDNA and the whole process took much… https://t.co/bOstFCZ7BM",95,0,Unlabeled,2
@HPSupport can't get printer back on line #hppsdr #ijkhelp,96,0,Unlabeled,2
@nvidiacc Thank you for getting back to me on this. So this is a known issue? How will you publicize a solution? Any ideas on an ETA?,97,0,Unlabeled,2
@Delta booked my reso in Jan as a platinum with Econ comf. You bumped me in a lower class and seat?,98,0,Unlabeled,2
"You must check out Kline, Thatch and Wes! I want them all! https://t.co/Rra0HwtVD9 https://t.co/Yg3HKxPz7h",99,0,Unlabeled,2
@AOLSupportHelp 2 weeks and still no reply to  a LETTER to UK office about being charged for something I cancelled. Typical of AOL?,100,0,Unlabeled,2
@Walmart expired mustard ?? Peanut butter cracked &amp; open? Really? https://t.co/pxpS1IDTLo,101,0,Unlabeled,2
"#vodafone down since evening, not able to call any voda. Number to n from @VodafoneIN",102,0,Unlabeled,2
From the back to back defending Cup champs to the new guys... https://t.co/Lpqu76amhn,103,0,Unlabeled,2
"@McDonalds Tried app order w/app coupon, Apple Pay and curbside pickup. Very pleased. 4 minute wait was much faster than long drivethru.",104,0,Unlabeled,2
@ToppsSLAM Any explanation on the dozens of other purple rr base cards yets????,105,0,Unlabeled,2
Tell Trump and @AjitPaiFCC that #NetNeutrality is not negotiable. https://t.co/oFGAsKeP7W via @freepress ✊✊✊,106,0,Unlabeled,2
Yo. When are we gonna see the new Nike NBA jerseys? @nikestore @nikebasketball @NBA @NBASTORE @utahjazz,107,0,Unlabeled,2
Cater to your skin's needs with the NEW #KrogerSpaLine Products! #MyMagazineSharing #FreeSamp https://t.co/ITmA4vPKnK,108,0,Unlabeled,2
This is really cool. Check it out.... https://t.co/olbimz6gFK,109,0,Unlabeled,2
@anggibson09 Omg I’m watching it too! ���� #48HoursOnID,110,0,Unlabeled,2
I get in Twitter to aggravate ppl and log off. That’s it ��,111,0,Unlabeled,2
Aaaahhhhhh there is nothing more infuriating than the @BootsUK website - why do I do this to myself?!,112,0,Unlabeled,2
@HarrodsService man in store swapped the phone case i took to the til for a very scratched one. Really disappointing and no response so far.,113,0,Unlabeled,2
@Superdry Bought these less than 4 weeks ago and they are falling apart! #nothappy https://t.co/vuxUOTgAtG,114,0,Unlabeled,2
Whyyyy is your WiFi so slow @HolidayInn?,115,0,Unlabeled,2
@babyl_dragon @SIitherinn @nailogical lol she gonna get a snake now,116,0,Unlabeled,2
@realDonaldTrump Roy Moore has been in politics for 35+ yrs. Why did the accusations not come out until after he de… https://t.co/fUX4i02dzF,117,0,Unlabeled,2
@nvidiacc Hrm ok. I guess the question is can I run 2 x 1920x1200 projectors from a Quadro 2000 then?,118,0,Unlabeled,2
@British_Airways that security video certainly caught my eye! I actually watched the whole thing! #brilliant  #jobwelldone #Londonbound,119,0,Unlabeled,2
@CanyonDriver How would you rate Luke's coaching thus far?,120,0,Unlabeled,2
@AirAsiaSupport i need your help to do name amendment for booking no vnmcgg,121,0,Unlabeled,2
"@BeatsSupport Hi, can you please respond to my query attached, thanks. https://t.co/PcXmMNZVUW",122,0,Unlabeled,2
@celesteedivine aw thank you!!❣️,123,0,Unlabeled,2
@BLACKANDDECKER total microwave fail! All the buttons are peeling up. Just bought it a few months ago #fail,124,0,Unlabeled,2
@SenWarren @SenGillibrand @realDonaldTrump When will Windbag Warren finally shut her trap?,125,0,Unlabeled,2
@eBay Great the government closed down and eBay did the same. #throttling #ebaykillingUSEconomy,126,0,Unlabeled,2
Wtf @Topman pick the phone up,127,0,Unlabeled,2
@HPSupport Why won't the printer drivers install on my Win10 PC?#hppsdr #ijkhelp,128,0,Unlabeled,2
@DailyDresses I actually really like this color :o,129,0,Unlabeled,2
"@sho_help trying to watch Showtime on my iPad, keep getting network issues. Hulu and Netflix are working fine. Help?",130,0,Unlabeled,2
We have @CmcDecorators in today completing the decoration of our kitchen which was donated &amp; fitted by @IKEAUK Aberdeen #HappyMonday,131,0,Unlabeled,2
"@nvidia You guys are insane, such remarkable minds to created such a powerful product yet so small! I applaud Nvidias work.",132,0,Unlabeled,2
"@BurberryService Ah great, thanks!",133,0,Unlabeled,2
@FitbitSupport I came home to a surprise yesterday from my boyfriend!! Im back in business!! https://t.co/0MbIZTbhb3,134,0,Unlabeled,2
@svanlandingham @Delta @ATLairport Nope. No power to get the jetway to the plane,135,0,Unlabeled,2
"@duckvalentine No stop. Leave it alone, Nintendo.",136,0,Unlabeled,2
@AskeBay Laura...just posted the information you requested.,137,0,Unlabeled,2
@AbsolutLIBRA I agree!,138,0,Unlabeled,2
@HondaCustSvc Your customer service has been horrible during the recall process. I will never purchase a Honda again.,139,0,Unlabeled,2
"Hot Dogs, Horseshoes &amp; Hand Grenades: https://t.co/szcKCaUPoT via @YouTube",140,0,Unlabeled,2
"--Buying a new @AlfaRomeoUSA #Giulia: $50,000 --Not having a car for over a week because it is in the shop AGAIN: not priceless just shitty",141,0,Unlabeled,2
"@JamesClayton5 @NadineDorries If that is common practice, maybe all involved should consider return your laptops an… https://t.co/qIA3qFjewI",142,0,Unlabeled,2
@OhyeathatsCJ Must not have heard ��,143,0,Unlabeled,2
Just because they're licensed professionals does not mean that therapists/psychologists/psychiatrists/etc are alway… https://t.co/8GGhThFPvZ,144,0,Unlabeled,2
"@BurberryService ITEM 39763961, which store can I get this wallet?",145,0,Unlabeled,2
@AlitaHasABucket Story of my life.,146,0,Unlabeled,2
@DickGottfried U never returned my calls last year+1/2 nor responded 2 emails/tweets. Good 2 know U care more for D… https://t.co/eUrQxB5D39,147,0,Unlabeled,2
@FitbitSupport your flex 2 is shit. Never tracks a swim.,148,0,Unlabeled,2
honestly terrified of what the future has in store,149,0,Unlabeled,2
@rtmccombs Hit the 3 on his first attempt ��,150,0,Unlabeled,2
@LaydenRobinson Typo: “have THEIR way with”,151,0,Unlabeled,2
Yikes ! A 25 minute wait time when calling #nordstrom customer service !,152,0,Unlabeled,2
"David with the Head of Goliath - Guido Cagnacci (Italian, 1601 - 1663) — Google Arts &amp; Culture / ME https://t.co/F5i9esgzKZ",153,0,Unlabeled,2
"@AOLSupportHelp They do not reply, just automated email",154,0,Unlabeled,2
@KenyaPower How do I know my meter no if my IUC is Inhemeter.,155,0,Unlabeled,2
The Oreo Archives: Have Yourself a Depression-free Christmas https://t.co/pJq3XYbZe6,156,0,Unlabeled,2
@RailMinIndia @RailMinIndia l had checked account but the refunded amount  is not shown in discription,157,0,Unlabeled,2
"@Nordstrom customer care NOT on point today. Took them 15 minutes for them to confirm that I was correct, their phones do not work.",158,0,Unlabeled,2
@British_Airways sadly not by BA  had to buy new Emirates tickets. Eventually left LHR 36 hrs late via Dubai. Still no luggage.Payout please,159,0,Unlabeled,2
"@kacyfalk Lol, thanks Kacy ��",160,0,Unlabeled,2
@Trendlaser_ That doesn’t sound very strong. Thanks for the analogy! #nowyouknow #earthquake,161,0,Unlabeled,2
@MACcosmetics PLEASE STOP TAGGING MY NAME ON YOUR PRODUCTS!,162,0,Unlabeled,2
Hey @nationalgridus your reps become angry and demeaning when I show knowledge of my rights as a tenant. Is intimidation your policy?,163,0,Unlabeled,2
Thanks @Uber @Uber_Support for charging my @AmericanExpress card when your drivers cancel my ride. Thank you for charging me twice @Uber,164,0,Unlabeled,2
@pizzahut tf is this?! Smh yall got drivers sitting on the pizza to keep it warm? https://t.co/kNAxTSNdFZ,165,0,Unlabeled,2
@Superdry hi was wondering if u can help me i bought a superdry coat online in January have only wore it few times the pocket has ripped,166,0,Unlabeled,2
These @Nordstrom employees are awesome! 120+ pounds yesterday! https://t.co/JzKj95IudZ,167,0,Unlabeled,2
That being said most pages get crumpled up and thrown in the trash lol,168,0,Unlabeled,2
Not exactly thrilled with this inadequate offer @GEICO made me for my claim. It's like I have to pay bill and they got the tip. #cheapdate,169,0,Unlabeled,2
"When a @yelp representative offers us ""tools to improve"" our rating, but those tools require financial commitment, it's extortion.",170,0,Unlabeled,2
@Eagles @OldTakesExposed Just love the fact that the #Eagles take a shot back at the #ESPN crew,171,0,Unlabeled,2
@TopmanAskUs I've messaged you and No reply,172,0,Unlabeled,2
@propagaxxa when and where,173,0,Unlabeled,2
"I'm online, call me https://t.co/MiKf9x4zwm #bitwine",174,0,Unlabeled,2
@LPEVHybrid Yeah he prob would love it lol,175,0,Unlabeled,2
"@DisneyParks @WaltDisneyWorld Watching from Pensacola, FL!!",176,0,Unlabeled,2
@Bryci Just got back from seeing the Christmas decorations. Family tradition. Now time for eggnog.,177,0,Unlabeled,2
@BLACKANDDECKER got an email saying small appliances would contact me or i can call them. i called and the case #wasn't valid. this is absurd.,178,0,Unlabeled,2
@Love_bug1016 @bevwhaley,179,0,Unlabeled,2
@siafalewisnbc Eagles are better team today Still can't believe lack of penalties Refs not a factor at all,180,0,Unlabeled,2
@free__samples_ I love all my fans,181,0,Unlabeled,2
"The LIE we live in! Everybody should watch and share this video, I’m Speechless, spread it! https://t.co/crhUasdz3x",182,0,Unlabeled,2
@SamsungSupport what's going on with my ks8000?? https://t.co/GSGEDJKZGK,183,0,Unlabeled,2
@WholeFoods @amazon what is your policy on dogs who are not service dogs in your store? Please advise!,184,0,Unlabeled,2
"@AirAsiaSupport I had request for written delay confirmation via eform for the 4th times without response, can you help me",185,0,Unlabeled,2
@VirginTrains love your service but have to say the voice from your toilets are very creepy and a bit disturbing,186,0,Unlabeled,2
The xx (at @AsiaWorldExpoHk in Chek Lap Kok) https://t.co/X6BAgONwQm,187,0,Unlabeled,2
@blackanddecker sure wish I had read the reviews first. Now mine is broke and you won't honor the warranty! http://t.co/5FaKX8LGlB,188,0,Unlabeled,2
@NikeSupport check my topmost message and thats the issue,189,0,Unlabeled,2
@HondaCustSvc I heard about recall on Honda Accord 2013-2016 . What are the steps to fix this problem? I have 2015 models sports.,190,0,Unlabeled,2
@blackanddecker none so far. need a new coffee brewer. broke mine when we moved house #coffeebreak #mondaymotivation,191,0,Unlabeled,2
@BestBuySupport Can you at least forward my email to the Florence KY GM? Please confirm:,192,0,Unlabeled,2
"Leftover chicken? Don’t worry, we’ve got your back with Mini @PerdueChicken Pot Pies! #Promotion #PerdueCrew -… https://t.co/1yyboziYAl",193,0,Unlabeled,2
¡¡¡¡OH HELL YEAH IT'S HERE!!! Treating it delicately and with care @waffsicle @LoboExplosivo @JulienSolomita https://t.co/LIz2LLayLf,194,0,Unlabeled,2
@HarrodsService date ? can u keep me updated once thus arrived?,195,0,Unlabeled,2
@mikecerealshack @NICKIMINAJ You're not even a real fan #fakenews,196,0,Unlabeled,2
@exemplaryetoile @BestBuy Don't know why they bother to offer that then,197,0,Unlabeled,2
@TheLife_Outside @GoAwesomePlaces We've been to Taiwan and it is a beautiful place.,198,0,Unlabeled,2
"What a ""Rush""!!! https://t.co/3APTgpquXp via @youtube",199,0,Unlabeled,2
"I’m listening to 105.9 FM WMAL, Where Washington Comes To Talk ♫ #iHeartRadio #NowPlaying https://t.co/2RabswphnG",200,0,Unlabeled,2
@VirginTrains Any ideas on this? Still at Euston.,201,0,Unlabeled,2
@washposthelp any update on this? Every time that ad appears your scrolling stutters and I read a different paper. And it appears a lot,202,0,Unlabeled,2
Can’t wait to get taxes back and my bonus ������,203,0,Unlabeled,2
"@SqSupportUK Ok, so when will the 1% transaction fee be in effect, as seen in a comparison article?!",204,0,Unlabeled,2
Is this really what you call a large milkshake @McDonalds https://t.co/DBWdtH7DoR,205,0,Unlabeled,2
"@AdamSchefter The game isn’t over, bud. Do you not understand the sport?",206,0,Unlabeled,2
I don't know what's going on with BT but this internet service at the moment is fucking terrible.,207,0,Unlabeled,2
No. Not okay. One-game suspension for Bengals' George Iloka reduced to $36K fine https://t.co/j51JE08wrE via @ESPN… https://t.co/ldFNc9pQtJ,208,0,Unlabeled,2
@amberclines How is the reunion coming out in 9 days and they’re only on week 6?,209,0,Unlabeled,2
I think Sallie Mae makes their website as slow and shitty as possible so that it pisses you off more..,210,0,Unlabeled,2
@Newegg is scamming people on @eBay / @AskeBay. Be warned! https://t.co/4sDqpxWPLc,211,0,Unlabeled,2
"@MicrosoftHelps But i can't open the document, how can i know the version number?",212,0,Unlabeled,2
"@GeorgiaPower Forsyrh County, Buford Dam Road, just west of the intersection with Heatherstone Drive.",213,0,Unlabeled,2
@BestBuySupport Look at both images,214,0,Unlabeled,2
"@jonfavs This looks like it belongs on a serial killer's wall. And not a competent one, but bargain bin zodiac killer. Aka Ted Cruz's dad.",215,0,Unlabeled,2
@Luluucuevass That's rough. Probably enough to make you feel like doing the same. Lol. But don't.,216,0,Unlabeled,2
@dbongino What I learned from the speech is eating a lot of dirt will apparently stunt your growth. I think they sh… https://t.co/NMt5zSuvOy,217,0,Unlabeled,2
Omg! @KFC_UKI first trip to the new kfc near Asda havant drive thru had a missing piece from the wicked variety bucket... This time FOUR missing pieces. Disgusting!!! Only just started using kfc again after finding a hair in my chicken 3 years ago,218,0,Unlabeled,2
@BurberryService 8141606222 i need this,219,0,Unlabeled,2
I'm a Level 4! What's your hair health diagnosis? https://t.co/Mr7csBJceV @influenster,220,0,Unlabeled,2
"@SquareUK Thanks. This sounds like a gift for criminals, just walk around Oxford St with one in your pocket and swipe people going by.....",221,0,Unlabeled,2
@angelsprada @riiiiiiiine look at this thread,222,0,Unlabeled,2
@TeamTurboTax At least that's what I got when I called.,223,0,Unlabeled,2
the boba shop i was in earlier was playing @thisisLANY whatta vibe,224,0,Unlabeled,2
"Photographed Ex-Lab Rats And Mice Going Outdoors For The First Time, And Their Expressions Say It All… https://t.co/QBL3mqCBnE",225,0,Unlabeled,2
@NBASTORE how you just out of Isiah Thomas jerseys right now @Isaiah_Thomas,226,0,Unlabeled,2
I just upgraded to gold in my DYM plan and its great. I sure hope @DownloadYM retweets me.,227,0,Unlabeled,2
"@AmazonNews_IN @amznind there is no clear return policy about Redmi 4 (Gold, 64GB) on your website why so",228,0,Unlabeled,2
@MicrosoftHelps Yes I am what can I do???,229,0,Unlabeled,2
@JetBlue Flight 415.  Thks.,230,0,Unlabeled,2
i think @medium really needs the ability to follow people's Posts *AND/OR* people's Comments...,231,0,Unlabeled,2
Good #CuldceptRevolt knowledge from Hiroyoshi in our Forum - reverting a land to G with Land Transfer gets you 70%… https://t.co/sQSIIfZIWY,232,0,Unlabeled,2
There it is! https://t.co/lMszZijMWo,233,0,Unlabeled,2
"Thanks, @united for having a nearly-literal million outlets at LAX",234,0,Unlabeled,2
�� laurelance: make me choose ★ @lancedinah asked chloe decker or mazikeen “Hunting humans is a job. Who... https://t.co/M7jF3urM1W,235,0,Unlabeled,2
"@VirginTrains. Hi, how far in advance can I book seats on a virgin train travelling in October? The",236,0,Unlabeled,2
@TopmanAskUs I placed an order on the 5th of December have had details to say it has been dispatched and delivered however have got nothing?,237,0,Unlabeled,2
they eventually said sorry to one another and the one guy gave knife guy his scarf that he’d left on another seat,238,0,Unlabeled,2
@ThreeUKSupport Yes 48 hours from 12pm today,239,0,Unlabeled,2
"@AirAsiaSupport Hi, I've booked on Traveloka. My booking number is FD-658. Now I want to change my flight to Monday Jan 8, but Traveloka can't do it. Could you help check if there's anyway I can change it?",240,0,Unlabeled,2
@DIRECTV what a joke of a company 2 wks for a electronics to come to my house. I am looking for another source for my TV.,241,0,Unlabeled,2
@HarrodsService @Harrods I tried checking out the whole sunday but failed. Pls advise if I can still get the original discount! Thx!,242,0,Unlabeled,2
@EE got this text..is it spam or from ee? https://t.co/vnqIs2eMtU,243,0,Unlabeled,2
Very disappointed in @washingtonpost for no crossword today - what gives?,244,0,Unlabeled,2
@greavespg @nationalgridus did they have any info? It's eeerie outside!,245,0,Unlabeled,2
@UbisoftSupport I just buy R6 points on Playstation store but I didn't receive it in the game. Rainbow six siege,246,0,Unlabeled,2
"@TopmanAskUs hi, is it possible to buy a voucher for Topman Australia from the UK? Thanks.",247,0,Unlabeled,2
@AmazonHelp Worst*,248,0,Unlabeled,2
please watch ���� https://t.co/9ZzxSz6Wkh,249,0,Unlabeled,2
"Also I do not think Billy from Stranger Things is hot IRL. I think he looks like a cleaner, abbier, Macaulay Culkin",250,0,Unlabeled,2
@AskPlayStation Disconnected the router and PS4 doesn't help!!!! I'm still waiting for your reply!!!,251,0,Unlabeled,2
#Chrysler #dodge I'm on the side of the road AGAIN! I'm really tired of this issue,252,0,Unlabeled,2
@walmarthelp Okay thank you.,253,0,Unlabeled,2
Clayton Holiday Cash Sweepstakes https://t.co/vWEqzDeDd5,254,0,Unlabeled,2
@budlight @Budweiser @ksboldtownalex This Bud light is having an identity crisis. #bartender #ksboldtownalex http://t.co/bC6bWYQ7lL,255,0,Unlabeled,2
"@virginmedia broadband down for 3 days, problems planned until 27/12 not acceptable.",256,0,Unlabeled,2
@yelpsupport team! Help! I've tried three times to convey with your team to change my businesses' incorrect address. What do I do?,257,0,Unlabeled,2
Uhm @Delta web's been crashing every time I try to purchase tickets...,258,0,Unlabeled,2
@TopmanAskUs I. Need help.with an order,259,0,Unlabeled,2
@detsportsnation This is the worst football games of the year,260,0,Unlabeled,2
Take Care,261,0,Unlabeled,2
It's #MyTwitterAnniversary! I have been on Twitter for 4 years (since 22 Dec 2013). And you? https://t.co/G5cH3SLq65,262,0,Unlabeled,2
@neimanmarcus What's not to love?,263,0,Unlabeled,2
@nytsupport signed up to nyt subscription on a special offer at SXSW (delayed start) but I don't think it ever started... how can I check?,264,0,Unlabeled,2
@ZARA_Care requested a return but courier never appeared. You're not answering the phone. What should I do?,265,0,Unlabeled,2
"@Safaricom_Care Hi there, if ai want a paybill gor my wedding support collection, what are the requirements?",266,0,Unlabeled,2
@hm_custserv hi do you have this item 0494295001 in any stores in Southampton/Whiteley/Eastleigh in a medium?,267,0,Unlabeled,2
Having a horrible flight experience today @AmericanAir on flight 151 from Paris,268,0,Unlabeled,2
@AmericanAir #1460 from Austin,269,0,Unlabeled,2
"@TeamTurboTax how do you get a human on the phone, for a billing issues not tax help? #poorcustomerservice #fustrated #nothappy",270,0,Unlabeled,2
Just had fantastic customer service from @GEICO - Cameron in claims was so helpful and understanding #TheRealMVP #geico,271,0,Unlabeled,2
Nice but not my favorite https://t.co/8QrGyhKlL9,272,0,Unlabeled,2
@blackanddecker is the lbxr2020-ope compatible with lst1018 which uses lb018-ope?,273,0,Unlabeled,2
@SaintMarrey ����,274,0,Unlabeled,2
